id,input_receptor,input_ligand,input_template
3gf4_1_FAD_1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3gf4_1_FAD_1_holo_aligned_predicted_protein.pdb,CC1CC2NC3C(O)NC(O)NC3N(C[C@H](O)[C@H](O)[C@H](O)CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CNC5C4NCN[C@H]5N)[C@H](O)[C@@H]3O)C2CC1C,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3gf4_1_FAD_1_holo_aligned_predicted_protein.pdb
3ub7_1_ACM_1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ub7_1_ACM_1_holo_aligned_predicted_protein.pdb,CC(N)O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ub7_1_ACM_1_holo_aligned_predicted_protein.pdb
6yaq_1_OHZ_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/6yaq_1_OHZ_0_holo_aligned_predicted_protein.pdb,OCCC1CCCC[C@H]1N[C@H](O)N[C@H]1C[C@@H](Cl)C[C@@H](OC(F)(F)F)C1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/6yaq_1_OHZ_0_holo_aligned_predicted_protein.pdb
3ad9_1_NAD_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ad9_1_NAD_0_holo_aligned_predicted_protein.pdb,NC1NCNC2[C@@H]1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]2O[C@@H](N3CCCC([C@H](N)O)C3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ad9_1_NAD_0_holo_aligned_predicted_protein.pdb
2hs3_1_FGR_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2hs3_1_FGR_0_holo_aligned_predicted_protein.pdb,OCNCC(O)N[C@@H]1O[C@H](CO[PH](O)(O)O)[C@@H](O)[C@H]1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2hs3_1_FGR_0_holo_aligned_predicted_protein.pdb
5enp_1_5QF_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5enp_1_5QF_0_holo_aligned_predicted_protein.pdb,COCCN1CCN([C@@H]2NC(SCC[C@H]3CCC(OC)[C@@H](OC)C3)[C@H](CN)[C@H]3CC(C)(C)OCC23)CC1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5enp_1_5QF_0_holo_aligned_predicted_protein.pdb
6a71_1_9UX_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/6a71_1_9UX_0_holo_aligned_predicted_protein.pdb,O[Mo@]12S[Mo@@]1(O)S2,data/dockgen_set/dockgen_holo_aligned_predicted_structures/6a71_1_9UX_0_holo_aligned_predicted_protein.pdb
2vdf_1_OCT_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2vdf_1_OCT_0_holo_aligned_predicted_protein.pdb,CCCCCCCC,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2vdf_1_OCT_0_holo_aligned_predicted_protein.pdb
4uuw_1_AMP_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4uuw_1_AMP_0_holo_aligned_predicted_protein.pdb,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O)[C@@H](O)[C@H]1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4uuw_1_AMP_0_holo_aligned_predicted_protein.pdb
2q37_1_3AL_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2q37_1_3AL_0_holo_aligned_predicted_protein.pdb,NC(O)N[C@H]1NC(O)NC1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2q37_1_3AL_0_holo_aligned_predicted_protein.pdb
5k62_1_ASN-VAL_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5k62_1_ASN-VAL_0_holo_aligned_predicted_protein.pdb,CC(C)[C@@H](CO)NC(O)[C@@H](N)CC(N)O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5k62_1_ASN-VAL_0_holo_aligned_predicted_protein.pdb
3inr_1_GDU_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3inr_1_GDU_0_holo_aligned_predicted_protein.pdb,OC[C@H]1O[C@H](O[PH](O)(O)O[PH](O)(O)OC[C@H]2O[C@@H](N3CCC(O)NC3O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3inr_1_GDU_0_holo_aligned_predicted_protein.pdb
2ze9_1_PD7_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2ze9_1_PD7_0_holo_aligned_predicted_protein.pdb,CCCCCCC(O)OC[C@H](CO[PH](O)(O)O)OC(O)CCCCCC,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2ze9_1_PD7_0_holo_aligned_predicted_protein.pdb
3gf4_1_U5P_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3gf4_1_U5P_0_holo_aligned_predicted_protein.pdb,OC1CCN([C@@H]2O[C@H](CO[PH](O)(O)O)[C@@H](O)[C@H]2O)C(O)N1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3gf4_1_U5P_0_holo_aligned_predicted_protein.pdb
4phr_1_UDP_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4phr_1_UDP_0_holo_aligned_predicted_protein.pdb,OC1CCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]2O)C(O)N1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4phr_1_UDP_0_holo_aligned_predicted_protein.pdb
3o01_2_DXC_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3o01_2_DXC_0_holo_aligned_predicted_protein.pdb,C[C@H](CCC(O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3o01_2_DXC_0_holo_aligned_predicted_protein.pdb
5b5s_1_BOG_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5b5s_1_BOG_0_holo_aligned_predicted_protein.pdb,CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5b5s_1_BOG_0_holo_aligned_predicted_protein.pdb
5hmr_1_FDZ_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5hmr_1_FDZ_0_holo_aligned_predicted_protein.pdb,OC(NC1CNNS1)N[C@H]1CCC[C@H](OC(F)(F)F)C1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5hmr_1_FDZ_0_holo_aligned_predicted_protein.pdb
2wwc_1_CHT_2,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2wwc_1_CHT_2_holo_aligned_predicted_protein.pdb,C[N+](C)(C)CCO,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2wwc_1_CHT_2_holo_aligned_predicted_protein.pdb
2v5e_1_GU4-YYJ_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2v5e_1_GU4-YYJ_0_holo_aligned_predicted_protein.pdb,OS(O)(O)OC[C@H]1O[C@@](COS(O)(O)O)(O[C@H]2O[C@H](COS(O)(O)O)[C@@H](OS(O)(O)O)[C@H](OS(O)(O)O)[C@H]2OS(O)(O)O)[C@@H](OS(O)(O)O)[C@@H]1OS(O)(O)O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2v5e_1_GU4-YYJ_0_holo_aligned_predicted_protein.pdb
3zjx_1_BOG_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3zjx_1_BOG_0_holo_aligned_predicted_protein.pdb,CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3zjx_1_BOG_0_holo_aligned_predicted_protein.pdb
5fxf_1_BEZ_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5fxf_1_BEZ_0_holo_aligned_predicted_protein.pdb,OC(O)C1CCCCC1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5fxf_1_BEZ_0_holo_aligned_predicted_protein.pdb
6uqy_2_AT3_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/6uqy_2_AT3_0_holo_aligned_predicted_protein.pdb,C[C@@H](O)SCC[N+](C)(C)C,data/dockgen_set/dockgen_holo_aligned_predicted_structures/6uqy_2_AT3_0_holo_aligned_predicted_protein.pdb
5hhz_1_ZME_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5hhz_1_ZME_0_holo_aligned_predicted_protein.pdb,CC1CCN(C2NCNC3NCNC32)C1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5hhz_1_ZME_0_holo_aligned_predicted_protein.pdb
4xdr_1_ADN_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4xdr_1_ADN_0_holo_aligned_predicted_protein.pdb,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4xdr_1_ADN_0_holo_aligned_predicted_protein.pdb
3ub9_1_NHY_1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ub9_1_NHY_1_holo_aligned_predicted_protein.pdb,N[C@@H](O)NO,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ub9_1_NHY_1_holo_aligned_predicted_protein.pdb
6npp_1_KWG_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/6npp_1_KWG_0_holo_aligned_predicted_protein.pdb,[O-]C(O)C1CCCC(CCC2CCCCC2)C1N1CCCC1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/6npp_1_KWG_0_holo_aligned_predicted_protein.pdb
2wab_1_BGC-BGC-BGC-BGC-BGC_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2wab_1_BGC-BGC-BGC-BGC-BGC_0_holo_aligned_predicted_protein.pdb,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O[C@H]4[C@H](O)[C@@H](O)[C@H](O[C@H]5[C@H](O)[C@@H](O)[C@H](O)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2wab_1_BGC-BGC-BGC-BGC-BGC_0_holo_aligned_predicted_protein.pdb
4rpm_1_HXC_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4rpm_1_HXC_0_holo_aligned_predicted_protein.pdb,CCCCCC(O)SC,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4rpm_1_HXC_0_holo_aligned_predicted_protein.pdb
3k8l_1_GLC-GLC-GLC-GLC-GLC_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3k8l_1_GLC-GLC-GLC-GLC-GLC_0_holo_aligned_predicted_protein.pdb,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3k8l_1_GLC-GLC-GLC-GLC-GLC_0_holo_aligned_predicted_protein.pdb
1v97_1_MTE_1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/1v97_1_MTE_1_holo_aligned_predicted_protein.pdb,NC1NC(O)[C@@H]2N[C@H]3C(S)C(S)[C@@H](CO[PH](O)(O)O)O[C@H]3NC2N1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/1v97_1_MTE_1_holo_aligned_predicted_protein.pdb
5ae3_2_AWB_1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5ae3_2_AWB_1_holo_aligned_predicted_protein.pdb,CCCCCC[C@H]1C(O)O[C@H](C)[C@H](N[C@H](O)[C@@H]2CCC[C@H](NCO)[C@H]2O)C(O)O[C@@H](C)[C@@H]1OC(O)CC(C)C,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5ae3_2_AWB_1_holo_aligned_predicted_protein.pdb
3ada_1_NAD_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ada_1_NAD_0_holo_aligned_predicted_protein.pdb,N[C@H](O)C1CCCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CN[C@@H]5[C@H](N)NCN[C@H]54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ada_1_NAD_0_holo_aligned_predicted_protein.pdb
3s6a_1_ANP_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3s6a_1_ANP_0_holo_aligned_predicted_protein.pdb,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](N)(O)O)[C@@H](O)[C@H]1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3s6a_1_ANP_0_holo_aligned_predicted_protein.pdb
2o5m_1_MNR_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2o5m_1_MNR_0_holo_aligned_predicted_protein.pdb,CCC1C(C)C2C[C@@H]3[C@H](C)[C@H](CCC(O)O)C4CC5[C@@H](CCC(O)O)C(C)C6CC7[C@@H](CC)[C@H](C)C8CC1N2[Mn@SP2](N65)(N87)N43,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2o5m_1_MNR_0_holo_aligned_predicted_protein.pdb
6xug_1_O1Q_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/6xug_1_O1Q_0_holo_aligned_predicted_protein.pdb,CC1CCC[C@H](N2NCC[C@H]2C2CC(Cl)C3NNN(C4CC[C@H]5CNNC5C4)C3C2)C1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/6xug_1_O1Q_0_holo_aligned_predicted_protein.pdb
2xrh_1_NIO_1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2xrh_1_NIO_1_holo_aligned_predicted_protein.pdb,OC(O)[C@H]1CCCNC1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2xrh_1_NIO_1_holo_aligned_predicted_protein.pdb
2gf3_2_FOA_1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2gf3_2_FOA_1_holo_aligned_predicted_protein.pdb,OC(O)C1CCCO1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2gf3_2_FOA_1_holo_aligned_predicted_protein.pdb
2xta_1_ACO_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2xta_1_ACO_0_holo_aligned_predicted_protein.pdb,CCO[PH](O)(O)O[PH](O)(O)OC[C@H]1O[C@@H](N2CNC3C(N)NCNC32)[C@H](O)[C@@H]1O[PH](O)(O)O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2xta_1_ACO_0_holo_aligned_predicted_protein.pdb
5eno_1_5QG_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5eno_1_5QG_0_holo_aligned_predicted_protein.pdb,CC1(C)CC2C(CO1)C(N1CCOCC1)NC(SCCC1CCCCC1)[C@@H]2CN,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5eno_1_5QG_0_holo_aligned_predicted_protein.pdb
2gag_1_NAD_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2gag_1_NAD_0_holo_aligned_predicted_protein.pdb,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]2O[C@@H](N3CCCC([C@H](N)O)C3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2gag_1_NAD_0_holo_aligned_predicted_protein.pdb
1o72_2_PC_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/1o72_2_PC_0_holo_aligned_predicted_protein.pdb,C[N+](C)(C)CCO[PH](O)(O)O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/1o72_2_PC_0_holo_aligned_predicted_protein.pdb
1za2_1_CTP_4,data/dockgen_set/dockgen_holo_aligned_predicted_structures/1za2_1_CTP_4_holo_aligned_predicted_protein.pdb,NC1CCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]2O)C(O)N1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/1za2_1_CTP_4_holo_aligned_predicted_protein.pdb
5fxe_1_CIY_1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5fxe_1_CIY_1_holo_aligned_predicted_protein.pdb,CO[C@H]1CC(CCCO)CCC1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5fxe_1_CIY_1_holo_aligned_predicted_protein.pdb
2r4e_1_13P_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2r4e_1_13P_0_holo_aligned_predicted_protein.pdb,OC[C@@H](O)CO[PH](O)(O)O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2r4e_1_13P_0_holo_aligned_predicted_protein.pdb
