id,input_receptor,input_ligand,input_template
1HNN_SKF,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HNN_SKF_holo_aligned_predicted_protein.pdb,NS(=O)(=O)c1ccc2c(c1)CNCC2|Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O|Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HNN_SKF_holo_aligned_predicted_protein.pdb
1K3U_IAD,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1K3U_IAD_holo_aligned_predicted_protein.pdb,CC1NC[C@@H](CO[PH](O)(O)O)C(C)C1O|O=C(O)C[C@H](NC(=O)Cc1c[nH]c2ccccc12)C(=O)O|[Na+],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1K3U_IAD_holo_aligned_predicted_protein.pdb
1Q1G_MTI,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1Q1G_MTI_holo_aligned_predicted_protein.pdb,CC(C)O|CC(C)O|CC(C)O|CC(C)O|CC(C)O|CC(C)O|CC(C)O|CC(C)O|CC(C)O|CSC[C@H]1[NH2+][C@@H](c2c[nH]c3c(=O)[nH]cnc23)[C@H](O)[C@@H]1O|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1Q1G_MTI_holo_aligned_predicted_protein.pdb
1GM8_SOX,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1GM8_SOX_holo_aligned_predicted_protein.pdb,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2[S@H]1O|[Ca+2],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1GM8_SOX_holo_aligned_predicted_protein.pdb
1OPK_P16,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1OPK_P16_holo_aligned_predicted_protein.pdb,CCCCCCCCCCCCCC(=O)O|Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21|OCC(O)CO,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1OPK_P16_holo_aligned_predicted_protein.pdb
1U1C_BAU,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1U1C_BAU_holo_aligned_predicted_protein.pdb,O=P([O-])([O-])[O-]|O=P([O-])([O-])[O-]|O=P([O-])([O-])[O-]|O=P([O-])([O-])[O-]|O=P([O-])([O-])[O-]|O=P([O-])([O-])[O-]|O=c1[nH]c(=O)n(COCCO)cc1Cc1ccccc1|[K+]|[K+]|[K+],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1U1C_BAU_holo_aligned_predicted_protein.pdb
1T46_STI,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1T46_STI_holo_aligned_predicted_protein.pdb,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1|O=P([O-])([O-])[O-]|O=P([O-])([O-])[O-],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1T46_STI_holo_aligned_predicted_protein.pdb
1HQ2_PH2,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HQ2_PH2_holo_aligned_predicted_protein.pdb,CC(=O)[O-]|CC(=O)[O-]|CC(=O)[O-]|CC(=O)[O-]|Nc1nc2c(c(=O)[nH]1)N=C(CO)CN2|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O|[Cl-]|[Mg+2]|[Mg+2],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HQ2_PH2_holo_aligned_predicted_protein.pdb
1N2V_BDI,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1N2V_BDI_holo_aligned_predicted_protein.pdb,CCCCc1nc2c(=O)[nH][nH]c(=O)c2[nH]1|[Zn+2],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1N2V_BDI_holo_aligned_predicted_protein.pdb
1S19_MC9,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1S19_MC9_holo_aligned_predicted_protein.pdb,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1S19_MC9_holo_aligned_predicted_protein.pdb
1OYT_FSN,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1OYT_FSN_holo_aligned_predicted_protein.pdb,NC(=[NH2+])c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)cc1|OCCCC(O)O|[Ca+2]|[Na+],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1OYT_FSN_holo_aligned_predicted_protein.pdb
1XM6_5RM,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1XM6_5RM_holo_aligned_predicted_protein.pdb,CCCOc1cc([C@]2(C)CNC(=O)O2)ccc1OC|[Mg+2]|[Mg+2]|[Zn+2]|[Zn+2],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1XM6_5RM_holo_aligned_predicted_protein.pdb
1TZ8_DES,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1TZ8_DES_holo_aligned_predicted_protein.pdb,CC(=O)[O-]|CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1|CS(C)=O|O=C([O-])[O-]|OCC(O)CO|OCC(O)CO,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1TZ8_DES_holo_aligned_predicted_protein.pdb
2BSM_BSM,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/2BSM_BSM_holo_aligned_predicted_protein.pdb,CCNC(=O)c1n[nH]c(-c2cc(Cl)c(O)cc2O)c1-c1ccc(OC)cc1|N,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/2BSM_BSM_holo_aligned_predicted_protein.pdb
1P2Y_NCT,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1P2Y_NCT_holo_aligned_predicted_protein.pdb,CCC1C(C)[C@@H]2C[C@H]3C(CC)[C@H](C)C4CC5C(C)[C@@H](CCC(O)O)[C@H]6C[C@@H]7[C@@H](CCC(O)O)C(C)[C@H]8C[C@H]1N2[Fe@SP2](N56)(N43)N87|CN1CCC[C@H]1c1cccnc1,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1P2Y_NCT_holo_aligned_predicted_protein.pdb
1V0P_PVB,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1V0P_PVB_holo_aligned_predicted_protein.pdb,CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(=O)O)c(Cl)c2)c2ncn(C(C)C)c2n1,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1V0P_PVB_holo_aligned_predicted_protein.pdb
1KZK_JE2,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1KZK_JE2_holo_aligned_predicted_protein.pdb,Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cccc(O)c2C)CSC1(C)C|OCCO|OCCO|OCCO|OCCO|OCCO|[Cl-]|[Cl-]|[Cl-]|[Cl-]|[Cl-],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1KZK_JE2_holo_aligned_predicted_protein.pdb
1R55_097,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1R55_097_holo_aligned_predicted_protein.pdb,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C|C[C@@H](O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O|C[C@H](O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O|OC[C@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O|OC[C@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O|OC[C@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O|[Ca+2]|[Cl-]|[Cl-]|[Zn+2],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1R55_097_holo_aligned_predicted_protein.pdb
1SG0_STL,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1SG0_STL_holo_aligned_predicted_protein.pdb,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C|Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C|Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1|[Zn+2]|[Zn+2],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1SG0_STL_holo_aligned_predicted_protein.pdb
1L7F_BCZ,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1L7F_BCZ_holo_aligned_predicted_protein.pdb,CC(O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O|CC(O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O|CC(O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O|CC(O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O|CC(O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O|CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N|OCC(O)CO|OCC(O)CO|OCC(O)CO|OC[C@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O|OC[C@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O|OC[C@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O|OC[C@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O|OC[C@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O|[Ca+2]|[Ca+2],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1L7F_BCZ_holo_aligned_predicted_protein.pdb
1NAV_IH5,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1NAV_IH5_holo_aligned_predicted_protein.pdb,CC(C)c1cc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)ccc1O|O=S(=O)([O-])[O-],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1NAV_IH5_holo_aligned_predicted_protein.pdb
1W2G_THM,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1W2G_THM_holo_aligned_predicted_protein.pdb,CC(=O)[O-]|CC(=O)[O-]|CC(=O)[O-]|Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O|N|N,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1W2G_THM_holo_aligned_predicted_protein.pdb
1Z95_198,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1Z95_198_holo_aligned_predicted_protein.pdb,C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1|O=S(=O)([O-])[O-],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1Z95_198_holo_aligned_predicted_protein.pdb
1YVF_PH7,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1YVF_PH7_holo_aligned_predicted_protein.pdb,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1|O=P([O-])([O-])[O-]|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO|[Cl-],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1YVF_PH7_holo_aligned_predicted_protein.pdb
1X8X_TYR,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1X8X_TYR_holo_aligned_predicted_protein.pdb,N[C@@H](Cc1ccc(O)cc1)C(=O)O|O=S(=O)([O-])[O-],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1X8X_TYR_holo_aligned_predicted_protein.pdb
1HWI_115,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HWI_115_holo_aligned_predicted_protein.pdb,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1HWI_115_holo_aligned_predicted_protein.pdb
1S3V_TQD,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1S3V_TQD_holo_aligned_predicted_protein.pdb,COc1cc(N(C)C[C@@H]2CCC3=C(C2)C(N)=N[C@@H](N)N3)cc(OC)c1OC|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1S3V_TQD_holo_aligned_predicted_protein.pdb
1W1P_GIO,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1W1P_GIO_holo_aligned_predicted_protein.pdb,N|O=C1NCC(=O)N2CCC[C@@H]12|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO|OCC(O)CO,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1W1P_GIO_holo_aligned_predicted_protein.pdb
