Cleaned_SMILES,pdb_id
Nc1nc2c(c(=O)[nH]1)N=C(CO)CN2,1HQ2_PH2
CCCCc1nc2c(=O)[nH][nH]c(=O)c2[nH]1,1N2V_BDI
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,1S19_MC9
NC(=[NH2+])c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)cc1,1OYT_FSN
CCCOc1cc([C@]2(C)CNC(=O)O2)ccc1OC,1XM6_5RM
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,1TZ8_DES
CCNC(=O)c1n[nH]c(-c2cc(Cl)c(O)cc2O)c1-c1ccc(OC)cc1,2BSM_BSM
CN1CCC[C@H]1c1cccnc1,1P2Y_NCT
CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(=O)O)c(Cl)c2)c2ncn(C(C)C)c2n1,1V0P_PVB
Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cccc(O)c2C)CSC1(C)C,1KZK_JE2
CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,1R55_097
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,1SG0_STL
CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N,1L7F_BCZ
CC(C)c1cc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)ccc1O,1NAV_IH5
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,1W2G_THM
C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,1Z95_198
O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,1YVF_PH7
N[C@@H](Cc1ccc(O)cc1)C(=O)O,1X8X_TYR
CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,1HWI_115
COc1cc(N(C)C[C@@H]2CCC3=C(C2)C(N)=N[C@@H](N)N3)cc(OC)c1OC,1S3V_TQD
O=C1NCC(=O)N2CCC[C@@H]12,1W1P_GIO
NC1=N/C(=C2/CCNC(=O)c3[nH]ccc32)C(=O)N1,1U4D_DBQ
Cn1ccnc1Sc1cc(C(=O)Nc2nccs2)c(N)cc1F,1V4S_MRK
Cc1cn([C@@]23C[C@H](O)[C@@H](CO)[C@@H]2C3)c(=O)[nH]c1=O,1OF1_SCT
Nc1nc2c(ncn2CCCCC(F)(F)P(=O)(O)O)c(=O)[nH]1,1V48_HA1
C[C@H](C(=O)O)c1ccc(-c2ccccc2)cc1,1Q4G_BFL
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccc2c(c1)OCO2)C(=O)O,1JJE_BYS
O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,1XOQ_ROF
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1M2Z_DEX
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,1P62_GEO
O=C(O)Cc1cccc2ccccc12,1LRH_NLA
Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,1SJ0_E4D
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,1MEH_MOA
CCCn1c(C2CCN(C)CC2)nc(-c2ccc(Cl)c(Cl)c2)c1-c1ccnc(NC2CC2)n1,1PMN_984
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,1SQN_NDR
CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)CN(O)C=O)C(C)(C)C,1GKC_NFH
O=C(O)COc1cc(F)ccc1C(=O)NCc1nc2c(F)c(F)cc(F)c2s1,1T40_ID5
NC(=O)c1cn([C@@H](CO)CCn2ccc3ccc(NC(=O)CCc4ccccc4)cc32)cn1,1UML_FR4
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,1UNL_RRC
N[C@@H](Cc1ccc(O)cc1)C(=O)O,1OF6_DTY
CC(=O)Nc1nnc(S(N)(=O)=O)s1,1JD0_AZM
CC(C)(CO)[C@@H](O)C(=O)[O-],1N2J_PAF
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,1J3J_CP6
CC[C@@]1(c2cccc(Oc3cc([C@](C)(N)c4cncn4C)ccc3C#N)c2)CCCCN(C)C1=O,1MZC_BNE
N=C(N)c1ccc2cc(C(=O)Nc3ccccc3)ccc2c1,1OWE_675
COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2Cl)n1,1T9B_1CS
CC(C)c1c(Cc2ccccc2)n(COCc2ccccc2)c(=O)[nH]c1=O,1JLA_TNK
COc1ccc(-c2oc3ncnc(NCCO)c3c2-c2ccc(OC)cc2)cc1,2BR1_PFP
Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)O)cc2)c1,1G9V_RQ3
NCc1cccc(C2CCN(C(=O)c3cncc(CCc4ccccc4)c3)CC2)c1,2BM2_PM2
CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,1XOZ_CIA
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O,1SQ5_PAU
Cc1cc(S(=O)(=O)N[C@@H](C(=O)NO)C2CCOCC2)ccc1F,1YQY_915
Nc1nc(N)c2c(Sc3ccccc3)cccc2n1,1IA1_TQ3
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,1HVY_D16
O[C@H]1[C@H]2[C@H](O)CCCN2C[C@H]1O,1HWW_SWA
C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,1TT1_KAI
O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\O,1Q41_IXM
CC(C)[C@H](N)C(=O)N1CCCC1,1N1M_A3M
CNS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccccc32)cc1,1KE5_LS1
Nc1nccc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1HP0_AD3
N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,1UOU_CMU
O=C(O)CCCn1c2ccccc2c2ccccc21,1TOW_CRZ
Cc1cccc2c1cc(C(=O)NCc1cc(Cl)cc(Cl)c1)n2Cc1cccc(C(=N)N)c1,1LPZ_CMB
CCC(CC)Nc1cc(C(=O)O)ccc1N1C(=O)CC[C@@]1(CN)CO,1VCJ_IBA
C[C@H](NC(=O)[C@H](Cc1ccc(-c2ccccc2)cc1)C[P@](=O)(O)[C@H](C)N)C(=O)O,1R1H_BIR
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,1OQ5_CEL
