complex_name,protein_path,ligand_description,protein_sequence
1rqp_1_SAM_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1rqp_1_SAM_0_holo_aligned_predicted_protein.pdb,C[S@@H](CC[C@H](N)C(O)O)C[C@H]1O[C@@H](N2CNC3C(N)NCNC32)[C@H](O)[C@@H]1O,
1sbz_1_FMN_3,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1sbz_1_FMN_3_holo_aligned_predicted_protein.pdb,C[C@@H]1CC2NC3C(O)NC(O)NC3N(C[C@H](O)[C@H](O)[C@H](O)CO[PH](O)(O)O)C2C[C@@H]1C,
1sij_1_PCD_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1sij_1_PCD_0_holo_aligned_predicted_protein.pdb,NC1CCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@H]4NC5NC(N)NC(O)C5N[C@H]4[C@@H]4S[Mo](O)(O)SC43)[C@@H](O)[C@H]2O)C(O)N1,
1tke_1_SER_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1tke_1_SER_0_holo_aligned_predicted_protein.pdb,N[C@@H](CO)C(O)O,
1tkg_1_SSA_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1tkg_1_SSA_0_holo_aligned_predicted_protein.pdb,NC1NCNC2C1NCN2[C@@H]1O[C@H](COS(O)(O)NC(O)[C@@H](N)CO)[C@@H](O)[C@H]1O,
1u8u_1_OCA_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1u8u_1_OCA_0_holo_aligned_predicted_protein.pdb,CCCCCCCC(O)O,
1uf5_1_CDT_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1uf5_1_CDT_0_holo_aligned_predicted_protein.pdb,CSCC[C@@H](NC(N)O)C(O)O,
1uf7_1_CDV_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1uf7_1_CDV_0_holo_aligned_predicted_protein.pdb,CC(C)[C@@H](NC(N)O)C(O)O,
1uf8_1_ING_2,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1uf8_1_ING_2_holo_aligned_predicted_protein.pdb,NC(O)N[C@H](CC1CCCCC1)C(O)O,
1v2g_1_OCA_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1v2g_1_OCA_0_holo_aligned_predicted_protein.pdb,CCCCCCCC(O)O,
1v97_1_MTE_1,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1v97_1_MTE_1_holo_aligned_predicted_protein.pdb,NC1NC(O)[C@@H]2N[C@H]3C(S)C(S)[C@@H](CO[PH](O)(O)O)O[C@H]3NC2N1,
1za2_1_CTP_4,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1za2_1_CTP_4_holo_aligned_predicted_protein.pdb,NC1CCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]2O)C(O)N1,
2cdc_1_XYS_5,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2cdc_1_XYS_5_holo_aligned_predicted_protein.pdb,O[C@@H]1[C@@H](O)[C@@H](O)OC[C@H]1O,
2ext_1_TRP_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2ext_1_TRP_0_holo_aligned_predicted_protein.pdb,N[C@@H](CC1CNC2CCCCC12)C(O)O,
2g7c_1_NAG-GAL-GLA_1,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2g7c_1_NAG-GAL-GLA_1_holo_aligned_predicted_protein.pdb,CC(O)N[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H]2O)[C@@H](CO)O[C@H]1O,
2gag_1_FOA_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2gag_1_FOA_0_holo_aligned_predicted_protein.pdb,OC(O)C1CCCO1,
2gag_1_NAD_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2gag_1_NAD_0_holo_aligned_predicted_protein.pdb,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]2O[C@@H](N3CCCC([C@H](N)O)C3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,
2gah_1_NAD_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2gah_1_NAD_0_holo_aligned_predicted_protein.pdb,NC(O)C1CCCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CNC5C(N)NCNC54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C1,
2gf3_2_FOA_1,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2gf3_2_FOA_1_holo_aligned_predicted_protein.pdb,OC(O)C1CCCO1,
2him_1_ASN_3,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2him_1_ASN_3_holo_aligned_predicted_protein.pdb,NC(O)C[C@H](N)C(O)O,
2hk9_1_SKM_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2hk9_1_SKM_0_holo_aligned_predicted_protein.pdb,OC(O)[C@H]1C[C@@H](O)[C@@H](O)[C@H](O)C1,
2hs3_1_FGR_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2hs3_1_FGR_0_holo_aligned_predicted_protein.pdb,OCNCC(O)N[C@@H]1O[C@H](CO[PH](O)(O)O)[C@@H](O)[C@H]1O,
2o5m_1_MNR_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2o5m_1_MNR_0_holo_aligned_predicted_protein.pdb,CCC1C(C)C2C[C@@H]3[C@H](C)[C@H](CCC(O)O)C4CC5[C@@H](CCC(O)O)C(C)C6CC7[C@@H](CC)[C@H](C)C8CC1N2[Mn@SP2](N65)(N87)N43,
2q37_1_3AL_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2q37_1_3AL_0_holo_aligned_predicted_protein.pdb,NC(O)N[C@H]1NC(O)NC1O,
2q6k_1_ADN_1,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2q6k_1_ADN_1_holo_aligned_predicted_protein.pdb,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,
2r4e_1_13P_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2r4e_1_13P_0_holo_aligned_predicted_protein.pdb,OC[C@@H](O)CO[PH](O)(O)O,
2v5e_1_GU4-YYJ_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2v5e_1_GU4-YYJ_0_holo_aligned_predicted_protein.pdb,OS(O)(O)OC[C@H]1O[C@@](COS(O)(O)O)(O[C@H]2O[C@H](COS(O)(O)O)[C@@H](OS(O)(O)O)[C@H](OS(O)(O)O)[C@H]2OS(O)(O)O)[C@@H](OS(O)(O)O)[C@@H]1OS(O)(O)O,
2v7t_1_SAH_4,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2v7t_1_SAH_4_holo_aligned_predicted_protein.pdb,NC1NCNC2C1NCN2[C@@H]1O[C@H](CSCC[C@H](N)C(O)O)[C@@H](O)[C@H]1O,
2v7u_1_SAM_2,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2v7u_1_SAM_2_holo_aligned_predicted_protein.pdb,C[S@@H](CC[C@H](N)C(O)O)C[C@H]1O[C@@H](N2CNC3C(N)NCNC32)[C@H](O)[C@@H]1O,
2v7v_1_5FD_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2v7v_1_5FD_0_holo_aligned_predicted_protein.pdb,NC1NCNC2C1NCN2[C@@H]1O[C@H](CF)[C@@H](O)[C@H]1O,
2v7w_1_5FD_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2v7w_1_5FD_0_holo_aligned_predicted_protein.pdb,NC1NCNC2C1NCN2[C@@H]1O[C@H](CF)[C@@H](O)[C@H]1O,
2vdf_1_OCT_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2vdf_1_OCT_0_holo_aligned_predicted_protein.pdb,CCCCCCCC,
2vfu_1_MTL_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2vfu_1_MTL_0_holo_aligned_predicted_protein.pdb,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,
2wab_1_BGC-BGC-BGC-BGC-BGC_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2wab_1_BGC-BGC-BGC-BGC-BGC_0_holo_aligned_predicted_protein.pdb,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O[C@H]4[C@H](O)[C@@H](O)[C@H](O[C@H]5[C@H](O)[C@@H](O)[C@H](O)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,
2wao_1_BGC-BGC-BGC-BGC-BGC_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2wao_1_BGC-BGC-BGC-BGC-BGC_0_holo_aligned_predicted_protein.pdb,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O[C@H]4[C@H](O)[C@@H](O)[C@H](O[C@H]5[C@H](O)[C@@H](O)[C@H](O)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,
2wr8_1_SAH_1,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2wr8_1_SAH_1_holo_aligned_predicted_protein.pdb,NC1NCNC2C1NCN2[C@@H]1O[C@H](CSCC[C@H](N)C(O)O)[C@@H](O)[C@H]1O,
2wwc_1_CHT_2,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2wwc_1_CHT_2_holo_aligned_predicted_protein.pdb,C[N+](C)(C)CCO,
2x34_2_UQ8_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2x34_2_UQ8_0_holo_aligned_predicted_protein.pdb,COC1C(O)C(C)C(CCC(C)CCCC(C)CCCC(C)CCC[C@H](C)CCCC(C)CCC[C@H](C)CCCC(C)CCCC(C)C)C(O)C1OC,
2xrh_1_NIO_1,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2xrh_1_NIO_1_holo_aligned_predicted_protein.pdb,OC(O)[C@H]1CCCNC1,
2xta_1_ACO_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2xta_1_ACO_0_holo_aligned_predicted_protein.pdb,CCO[PH](O)(O)O[PH](O)(O)OC[C@H]1O[C@@H](N2CNC3C(N)NCNC32)[C@H](O)[C@@H]1O[PH](O)(O)O,
2zcz_2_TRP_3,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2zcz_2_TRP_3_holo_aligned_predicted_protein.pdb,N[C@@H](CC1CNC2CCCCC12)C(O)O,
2zd0_1_TRP_9,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2zd0_1_TRP_9_holo_aligned_predicted_protein.pdb,N[C@@H](CC1CNC2CCCCC12)C(O)O,
2ze9_1_PD7_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2ze9_1_PD7_0_holo_aligned_predicted_protein.pdb,CCCCCCC(O)OC[C@H](CO[PH](O)(O)O)OC(O)CCCCCC,
3ad7_1_NAD_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ad7_1_NAD_0_holo_aligned_predicted_protein.pdb,N[C@H](O)C1CCCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CNC5[C@H](N)NCN[C@H]54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C1,
3ad9_1_NAD_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ad9_1_NAD_0_holo_aligned_predicted_protein.pdb,NC1NCNC2[C@@H]1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]2O[C@@H](N3CCCC([C@H](N)O)C3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,
3ada_1_NAD_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ada_1_NAD_0_holo_aligned_predicted_protein.pdb,N[C@H](O)C1CCCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CN[C@@H]5[C@H](N)NCN[C@H]54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C1,
3eca_1_ASP_3,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3eca_1_ASP_3_holo_aligned_predicted_protein.pdb,N[C@@H](CC(O)O)C(O)O,
3gf4_1_FAD_1,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3gf4_1_FAD_1_holo_aligned_predicted_protein.pdb,CC1CC2NC3C(O)NC(O)NC3N(C[C@H](O)[C@H](O)[C@H](O)CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CNC5C4NCN[C@H]5N)[C@H](O)[C@@H]3O)C2CC1C,
3gf4_1_U5P_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3gf4_1_U5P_0_holo_aligned_predicted_protein.pdb,OC1CCN([C@@H]2O[C@H](CO[PH](O)(O)O)[C@@H](O)[C@H]2O)C(O)N1,
3he3_5_UDP_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3he3_5_UDP_0_holo_aligned_predicted_protein.pdb,OC1CCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]2O)C(O)N1,
3it6_1_ORN_1,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3it6_1_ORN_1_holo_aligned_predicted_protein.pdb,NCCC[C@H](N)C(O)O,
3k8l_1_GLC-GLC-GLC-GLC-GLC_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3k8l_1_GLC-GLC-GLC-GLC-GLC_0_holo_aligned_predicted_protein.pdb,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,
3k8m_1_GLC-GLC-AC1_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3k8m_1_GLC-GLC-AC1_0_holo_aligned_predicted_protein.pdb,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1CC(CO)[C@@H](O)[C@H](O)[C@H]1O,
3nvv_1_MTE_1,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3nvv_1_MTE_1_holo_aligned_predicted_protein.pdb,NC1NC(O)C2N[C@@H]3[C@H](NC2N1)O[C@H](CO[PH](O)(O)O)C(S)[C@@H]3S,
3o01_2_DXC_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3o01_2_DXC_0_holo_aligned_predicted_protein.pdb,C[C@H](CCC(O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,
3o02_2_JN3_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3o02_2_JN3_0_holo_aligned_predicted_protein.pdb,C[C@H](CCC(O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,
3o7j_1_2AL_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3o7j_1_2AL_0_holo_aligned_predicted_protein.pdb,NC(O)NC1NC(O)NC1O,
3q14_1_PCR_3,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3q14_1_PCR_3_holo_aligned_predicted_protein.pdb,CC1CCC(O)CC1,
3qrc_2_GU4-YYJ_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3qrc_2_GU4-YYJ_0_holo_aligned_predicted_protein.pdb,OS(O)(O)OC[C@H]1O[C@@](COS(O)(O)O)(O[C@H]2O[C@H](COS(O)(O)O)[C@@H](OS(O)(O)O)[C@H](OS(O)(O)O)[C@H]2OS(O)(O)O)[C@@H](OS(O)(O)O)[C@@H]1OS(O)(O)O,
3s5x_1_BMA-MAN-MAN-MAN-MAN_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3s5x_1_BMA-MAN-MAN-MAN-MAN_0_holo_aligned_predicted_protein.pdb,OC[C@H]1O[C@H](O[C@@H]2[C@H](O)[C@@H](OC[C@H]3O[C@@H](O)[C@@H](O)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)O[C@H](CO)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,
3s6a_1_ANP_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3s6a_1_ANP_0_holo_aligned_predicted_protein.pdb,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](N)(O)O)[C@@H](O)[C@H]1O,
3se5_1_ANP_2,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3se5_1_ANP_2_holo_aligned_predicted_protein.pdb,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)N[PH](O)(O)O)[C@@H](O)[C@H]1O,
3sr6_1_MTE_1,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3sr6_1_MTE_1_holo_aligned_predicted_protein.pdb,NC1NC(O)[C@@H]2N[C@H]3C(S)C(S)[C@@H](CO[PH](O)(O)O)O[C@H]3NC2N1,
3ub7_1_ACM_1,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ub7_1_ACM_1_holo_aligned_predicted_protein.pdb,CC(N)O,
3ub9_1_NHY_1,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ub9_1_NHY_1_holo_aligned_predicted_protein.pdb,N[C@@H](O)NO,
3uni_1_SAL_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3uni_1_SAL_0_holo_aligned_predicted_protein.pdb,OC(O)C1CCCCC1O,
3wrb_1_GDE_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3wrb_1_GDE_0_holo_aligned_predicted_protein.pdb,OC(O)C1CC(O)C(O)C(O)C1,
3wvc_1_FEG_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3wvc_1_FEG_0_holo_aligned_predicted_protein.pdb,CC1C(CC(O)O)NC(O)[C@@H](C)[C@@H]1O[PH](O)(O)OC[C@H]1O[C@@H](N2CNC3C(O)NC(N)NC32)[C@H](O)[C@@H]1O,
3zec_1_ANP_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3zec_1_ANP_0_holo_aligned_predicted_protein.pdb,NC1NCNC2C1NCN2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)N[PH](O)(O)O)[C@@H](O)[C@H]1O,
3zjx_1_BOG_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3zjx_1_BOG_0_holo_aligned_predicted_protein.pdb,CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,
3zqu_1_FNR_5,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3zqu_1_FNR_5_holo_aligned_predicted_protein.pdb,C[C@H]1CC2NC3[C@H](O)N[C@H](O)N[C@@H]3N(C[C@H](O)[C@H](O)[C@H](O)CO[PH](O)(O)O)[C@@H]2C[C@@H]1C,
3zzs_1_TRP_3,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3zzs_1_TRP_3_holo_aligned_predicted_protein.pdb,N[C@@H](CC1CNC2CCCCC12)C(O)O,
