complex_name,protein_path,ligand_description,protein_sequence
4zaz_1_4LS_6,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4zaz_1_4LS_6_holo_aligned_predicted_protein.pdb,CC(C)=CCN1c2cc(C)c(C)cc2N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2[nH]c(=O)[nH]c(=O)c21.N#C[S-].N#C[S-].N#C[S-].O=P([O-])([O-])[O-].[NaH],
4phs_1_UDP_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4phs_1_UDP_0_holo_aligned_predicted_protein.pdb,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,
1tkg_1_SSA_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1tkg_1_SSA_0_holo_aligned_predicted_protein.pdb,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)[C@@H](N)CO)[C@@H](O)[C@H]1O,
1u8u_1_OCA_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1u8u_1_OCA_0_holo_aligned_predicted_protein.pdb,CCCCCCCC(=O)O.O=S(=O)([O-])[O-].OCC(O)CO.OCC(O)CO.OCC(O)CO.c1c[nH]cn1,
5mh1_1_BMA_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/5mh1_1_BMA_0_holo_aligned_predicted_protein.pdb,OCC(O)CO.OC[C@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O.[Mg+2].[Mg+2],
1i8t_1_FAD_1,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1i8t_1_FAD_1_holo_aligned_predicted_protein.pdb,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C,
6rms_1_AMP_1,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6rms_1_AMP_1_holo_aligned_predicted_protein.pdb,N[C@H](CO)C[SH2]O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O.O=S(=O)([O-])[O-].OCCO.[Mg+2].c1c[nH+]c[nH]1,
1v2g_1_OCA_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1v2g_1_OCA_0_holo_aligned_predicted_protein.pdb,CCCCCCCC(=O)O.O=S(=O)([O-])[O-].c1c[nH+]c[nH]1,
4o0d_1_GLY_3,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4o0d_1_GLY_3_holo_aligned_predicted_protein.pdb,[NaH].[NaH],
6rz2_1_5CD_2,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6rz2_1_5CD_2_holo_aligned_predicted_protein.pdb,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CCl)[C@@H](O)[C@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CCl)[C@@H](O)[C@H]1O,
5hqx_1_EDZ_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/5hqx_1_EDZ_0_holo_aligned_predicted_protein.pdb,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C.O=C(Nc1cnns1)Nc1ccccc1CCO,
2v7u_1_SAM_2,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2v7u_1_SAM_2_holo_aligned_predicted_protein.pdb,C[S@@+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.C[S@@+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.C[S@@+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[Cl-].[Cl-],
4fyv_1_DCP_2,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4fyv_1_DCP_2_holo_aligned_predicted_protein.pdb,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)n1.Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)n1.O=P([O-])([O-])[O-].[Zn+2].[Zn+2],
6tvg_1_AP2_1,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6tvg_1_AP2_1_holo_aligned_predicted_protein.pdb,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O.[Ca+2].[NaH].[Zn+2].[Zn+2],
4pfx_1_UDP_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4pfx_1_UDP_0_holo_aligned_predicted_protein.pdb,CC(=O)[O-].O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,
4uoc_1_NCN_1,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4uoc_1_NCN_1_holo_aligned_predicted_protein.pdb,O=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])O)[C@@H](O)[C@H]2O)c1.O=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])O)[C@@H](O)[C@H]2O)c1,
4pya_1_2X3_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4pya_1_2X3_0_holo_aligned_predicted_protein.pdb,Nc1nc2c(c(=O)[nH]1)N[C@H]1N2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@]1(O)[C@H]2O.OCCO.OCCO.OCCO.OCCO.OCCO.OCCO.OCCO,
3o7j_1_2AL_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3o7j_1_2AL_0_holo_aligned_predicted_protein.pdb,NC(=O)NC1=NC(=O)NC1=O,
4mos_1_GAF_1,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4mos_1_GAF_1_holo_aligned_predicted_protein.pdb,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)c1[nH]c(=O)[nH]c(=O)c1N2.O=S(=O)([O-])CC[NH+]1CCOCC1.OC[C@H]1O[C@@H](O)[C@H](F)[C@@H](O)[C@H]1O.OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@H]1O,
5enq_1_5QE_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/5enq_1_5QE_0_holo_aligned_predicted_protein.pdb,CC(=O)Nc1ccc(CCSc2nc(N3C[C@@H](C)O[C@@H](C)C3)c3c(c2C#N)CC(C)(C)OC3)cc1,
3se5_1_ANP_2,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3se5_1_ANP_2_holo_aligned_predicted_protein.pdb,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)NP(=O)(O)O)[C@@H](O)[C@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)NP(=O)(O)O)[C@@H](O)[C@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)NP(=O)(O)O)[C@@H](O)[C@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)NP(=O)(O)O)[C@@H](O)[C@H]1O.OCCOCCOCCOCCOCCOCCO.OCCOCCOCCOCCOCCOCCO.OCCOCCOCCOCCOCCOCCO.OCCOCCOCCOCCOC[C@@H]1O[C@H]1CO.[Mg+2].[Mg+2].[Mg+2].[Mg+2],
2cdc_1_XYS_5,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2cdc_1_XYS_5_holo_aligned_predicted_protein.pdb,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.OCCO.OCCO.OCCO.O[C@@H]1[C@@H](O)[C@@H](O)OC[C@H]1O.O[C@@H]1[C@@H](O)[C@@H](O)OC[C@H]1O.O[C@@H]1[C@@H](O)[C@@H](O)OC[C@H]1O.O[C@@H]1[C@@H](O)[C@@H](O)OC[C@H]1O.O[C@@H]1[C@@H](O)[C@@H](O)OC[C@H]1O.[Zn+2].[Zn+2].[Zn+2].[Zn+2].[Zn+2].[Zn+2].[Zn+2].[Zn+2],
5fxd_1_H7Y_1,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/5fxd_1_H7Y_1_holo_aligned_predicted_protein.pdb,CC=Cc1ccc(O)c(OC)c1.CC=Cc1ccc(O)c(OC)c1.Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C.Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C.OCC(O)CO,
4cdn_2_FAD_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4cdn_2_FAD_0_holo_aligned_predicted_protein.pdb,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C.O=S(=O)([O-])[O-].O=c1nc2n(C[C@H](O)[C@H](O)[C@H](O)CO)c3cc(O)ccc3cc-2c(=O)[nH]1.OCC(O)CO.OCC(O)CO.OCC(O)CO.OCCOCCO.OCCOCCO.OCCOCCO.OCCOCCO.OCCOCCOCCO.OCCOCCOCCO,
6pa6_2_ASN_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6pa6_2_ASN_0_holo_aligned_predicted_protein.pdb,c1c[nH+]c[nH]1,
3q14_1_PCR_3,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3q14_1_PCR_3_holo_aligned_predicted_protein.pdb,Cc1ccc(O)cc1.Cc1ccc(O)cc1.[Fe].[Fe],
4tvd_1_GLC_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4tvd_1_GLC_0_holo_aligned_predicted_protein.pdb,N[C@H](CO)CC1CC(I)C(O)C(I)C1.N[C@H](CO)CC1CCC(O)C(I)C1.N[C@H](CO)CC1CCC(O)[C@@H](I)C1.N[C@H](CO)C[C@@H]1CCC(O)C(I)C1.OCCOCCO.OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O.[Ca+2],
6yap_1_OHZ_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6yap_1_OHZ_0_holo_aligned_predicted_protein.pdb,CS(C)=O.CS(C)=O.CS(C)=O.Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C.O=C(Nc1cc(Cl)cc(OC(F)(F)F)c1)Nc1ccccc1CCO.OCCO.OCCO.OCCO.OCCO,
4fyw_1_CTP_4,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4fyw_1_CTP_4_holo_aligned_predicted_protein.pdb,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1.Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1.[Zn+2].[Zn+2],
5gqi_1_ATP_7,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/5gqi_1_ATP_7_holo_aligned_predicted_protein.pdb,CC=O.Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.OCCO.OCCO.OCCO.OCCO.[Cl-].[Mg+2].[Mg+2].[Mg+2],
6etf_1_AMP_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6etf_1_AMP_0_holo_aligned_predicted_protein.pdb,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O.O=[Mo](=O)([O-])[O-].OCCO.OCCO.OCCO.OCCO.[Mg+2],
6o70_1_ACK_1,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6o70_1_ACK_1_holo_aligned_predicted_protein.pdb,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](OP(=O)(O)OC[C@@H]2O[C@H](n3cnc4c(N)ncnc43)[C@H]3OP(=O)(O)O[C@H]32)[C@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](OP(=O)(O)OC[C@@H]2O[C@H](n3cnc4c(N)ncnc43)[C@H]3OP(=O)(O)O[C@H]32)[C@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H]2OP(=O)(O)O[C@H]21.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H]2OP(=O)(O)O[C@H]21,
5gql_1_ATP_4,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/5gql_1_ATP_4_holo_aligned_predicted_protein.pdb,CC=O.Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.OCCO.[Cl-].[Mg+2].[Mg+2],
3ad7_1_NAD_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ad7_1_NAD_0_holo_aligned_predicted_protein.pdb,CSCC(=O)[O-].Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C.Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Zn+2],
4cnl_1_CHT_1,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4cnl_1_CHT_1_holo_aligned_predicted_protein.pdb,C[N+](C)(C)CCO.O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].OCC(O)CO,
2gag_1_FOA_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/2gag_1_FOA_0_holo_aligned_predicted_protein.pdb,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C.Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O=C(O)c1ccco1.O=S([O-])[O-].OCC(O)CO.[Zn+2],
6ur1_2_AT3_0,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/6ur1_2_AT3_0_holo_aligned_predicted_protein.pdb,CC(=O)SCC[N+](C)(C)C.CC(=O)[O-].OCC(O)CO,
